X;Y;Z;R;G;B;viz100;viz50;viz100trees;treedist;t
1007.796;4.5;-218.355;0.529;0.039;0.639;1175;412;1149;29.168;0
1004.821;4.5;-218.172;0.549;0.059;0.627;1242;439;1204;28.551;0
1001.847;4.5;-217.988;0.573;0.078;0.612;1302;461;1258;28.235;0
998.872;4.5;-217.804;0.584;0.086;0.604;1324;473;1281;28.231;0
995.897;4.5;-217.621;0.596;0.098;0.6;1351;477;1302;28.169;0
992.922;4.5;-217.437;0.639;0.137;0.569;1447;502;1381;27.739;0
989.948;4.5;-217.254;0.675;0.169;0.549;1515;511;1430;27.114;0
986.973;4.5;-217.07;0.694;0.184;0.537;1556;517;1444;26.764;0
983.998;4.5;-216.886;0.71;0.196;0.529;1588;519;1479;26.744;0
981.023;4.5;-216.703;0.725;0.212;0.518;1624;525;1528;27.055;0
978.049;4.5;-216.519;0.745;0.227;0.506;1674;545;1572;27.612;0
975.074;4.5;-216.336;0.757;0.243;0.498;1714;554;1605;27.613;0
972.099;4.5;-216.152;0.769;0.251;0.49;1743;558;1634;27.933;0
969.125;4.5;-215.968;0.776;0.259;0.486;1774;555;1658;27.674;0
966.15;4.5;-215.785;0.784;0.263;0.482;1802;554;1676;27.197;0
963.175;4.5;-215.601;0.792;0.271;0.478;1839;561;1722;26.993;0
960.2;4.5;-215.418;0.796;0.275;0.475;1866;557;1749;27.117;0
957.226;4.5;-215.234;0.796;0.278;0.471;1898;552;1777;27.565;0
954.251;4.5;-215.05;0.8;0.278;0.471;1928;548;1808;27.855;0
951.276;4.5;-214.867;0.8;0.278;0.471;1977;541;1852;27.986;0
948.301;4.5;-214.683;0.804;0.282;0.467;2021;538;1890;28.296;0
947.05;4.5;-212.545;0.502;0.016;0.655;1059;343;988;30.256;0
948.357;4.5;-209.892;0.459;0.012;0.647;789;286;779;32.898;0
949.664;4.5;-207.24;0.4;0.016;0.631;673;252;673;35.407;0
950.972;4.5;-204.587;0.353;0.02;0.616;600;229;600;37.91;0
952.279;4.5;-201.935;0.31;0.02;0.604;538;208;538;40.473;0
953.586;4.5;-199.282;0.275;0.02;0.596;493;192;493;43.088;0
954.893;4.5;-196.63;0.239;0.024;0.584;445;171;445;45.743;0
956.2;4.5;-193.977;0.208;0.024;0.576;398;157;398;48.213;0
957.507;4.5;-191.324;0.184;0.024;0.569;364;147;364;50.7;0
958.815;4.5;-188.672;0.184;0.024;0.569;363;362;363;53.236;0
960.122;4.5;-186.019;0.204;0.024;0.573;392;391;392;55.813;0
961.429;4.5;-183.367;0.208;0.024;0.576;398;395;398;58.427;0
962.736;4.5;-180.714;0.212;0.024;0.576;402;394;402;61.071;0
964.043;4.5;-178.062;0.216;0.024;0.576;411;387;411;63.743;0
965.351;4.5;-175.409;0.224;0.024;0.58;423;378;423;66.44;0
966.658;4.5;-172.757;0.239;0.024;0.584;442;380;442;69.157;0
967.965;4.5;-170.104;0.247;0.024;0.588;452;370;452;71.894;0
970.368;4.5;-169.794;0.086;0.031;0.541;189;128;189;72.464;0
972.197;4.5;-172.019;0.082;0.031;0.541;178;118;178;70.534;0
974.027;4.5;-174.244;0.082;0.031;0.541;180;122;180;68.502;0
975.856;4.5;-176.469;0.082;0.031;0.541;180;123;180;66.302;0
977.686;4.5;-178.694;0.082;0.031;0.541;177;125;177;63.975;0
979.515;4.5;-180.918;0.082;0.031;0.541;177;129;177;61.637;0
981.344;4.5;-183.143;0.082;0.031;0.537;173;132;173;59.348;0
983.174;4.5;-185.368;0.078;0.031;0.537;168;136;168;57.112;0
985.003;4.5;-187.593;0.078;0.031;0.537;168;139;168;54.935;0
986.833;4.5;-189.818;0.078;0.031;0.537;163;142;163;52.827;0
988.662;4.5;-192.043;0.078;0.031;0.537;163;146;163;50.794;0
990.492;4.5;-194.268;0.075;0.031;0.537;159;148;159;48.847;0
992.321;4.5;-196.493;0.075;0.031;0.537;158;150;158;46.995;0
994.15;4.5;-198.718;0.075;0.031;0.537;154;149;154;45.251;0
995.98;4.5;-200.943;0.075;0.031;0.537;154;148;154;43.599;0
997.809;4.5;-203.168;0.071;0.031;0.537;150;142;150;42.048;0
999.639;4.5;-205.393;0.059;0.031;0.533;100;85;100;40.034;0
1001.468;4.5;-207.618;0.059;0.031;0.533;102;90;102;37.98;0
1003.297;4.5;-209.843;0.059;0.031;0.533;103;94;103;36.04;0
1005.127;4.5;-212.068;0.059;0.031;0.533;105;102;105;34.232;0
1006.956;4.5;-214.293;0.059;0.031;0.533;110;110;110;32.579;0
1008.786;4.5;-216.518;0.067;0.031;0.537;137;137;137;31.105;0
710.637;4.5;-304.175;0.502;0.016;0.655;1063;641;1063;68.001;0
707.887;4.5;-304.006;0.498;0.012;0.659;978;570;978;67.832;0
705.137;4.5;-303.836;0.498;0.012;0.659;969;539;969;67.774;0
702.387;4.5;-303.666;0.498;0.012;0.659;973;519;973;67.828;0
699.637;4.5;-303.497;0.498;0.012;0.659;1001;489;1001;67.937;0
696.887;4.5;-303.327;0.498;0.012;0.659;1023;477;1023;67.843;0
694.137;4.5;-303.157;0.502;0.016;0.655;1047;460;1047;67.862;0
691.387;4.5;-302.987;0.506;0.02;0.655;1085;455;1085;67.992;0
688.637;4.5;-302.818;0.537;0.047;0.635;1207;510;1207;68.215;0
687.261;4.5;-300.73;0.047;0.031;0.529;9;9;9;66.144;0
688.148;4.5;-298.037;0.047;0.031;0.529;9;9;9;63.489;0
689.035;4.5;-295.343;0.047;0.031;0.529;9;9;9;60.85;0
689.922;4.5;-292.649;0.047;0.031;0.529;9;9;9;58.09;0
690.809;4.5;-289.955;0.047;0.031;0.529;9;9;9;55.331;0
691.696;4.5;-287.261;0.047;0.031;0.529;9;9;9;52.575;0
692.582;4.5;-284.568;0.047;0.031;0.529;9;9;9;49.822;0
693.469;4.5;-281.874;0.047;0.031;0.529;9;9;9;47.078;0
694.356;4.5;-279.18;0.047;0.031;0.529;9;9;9;44.346;0
696.611;4.5;-277.57;0.047;0.031;0.529;7;7;7;42.542;0
699.224;4.5;-277.728;0.047;0.031;0.529;7;7;7;42.562;0
701.837;4.5;-277.886;0.047;0.031;0.529;7;7;7;42.742;0
704.45;4.5;-278.045;0.047;0.031;0.529;7;7;7;42.718;0
707.063;4.5;-278.203;0.047;0.031;0.529;7;7;7;42.659;0
709.676;4.5;-278.361;0.047;0.031;0.529;7;7;7;42.76;0
712.289;4.5;-278.519;0.047;0.031;0.529;7;7;7;43.02;0
713.979;4.5;-280.499;0.647;0.145;0.565;1460;735;1383;45.074;0
713.81;4.5;-283.239;0.643;0.141;0.569;1453;754;1370;47.699;0
713.641;4.5;-285.979;0.624;0.122;0.58;1408;760;1334;50.336;0
713.472;4.5;-288.72;0.608;0.11;0.592;1378;773;1317;52.985;0
713.303;4.5;-291.46;0.588;0.09;0.604;1336;779;1290;55.643;0
713.133;4.5;-294.201;0.573;0.078;0.612;1303;780;1269;58.309;0
712.964;4.5;-296.941;0.557;0.063;0.624;1258;783;1236;60.982;0
712.795;4.5;-299.681;0.533;0.043;0.639;1189;773;1187;63.662;0
712.626;4.5;-302.422;0.529;0.039;0.639;1182;786;1180;66.346;0
712.228;4.5;-279.518;0.047;0.031;0.529;40;40;40;43.977;0
709.615;4.5;-279.359;0.047;0.031;0.529;40;40;40;43.722;0
707.002;4.5;-279.201;0.047;0.031;0.529;40;40;40;43.623;0
704.389;4.5;-279.043;0.047;0.031;0.529;40;40;40;43.681;0
701.776;4.5;-278.884;0.047;0.031;0.529;40;40;40;43.714;0
699.163;4.5;-278.726;0.047;0.031;0.529;40;40;40;43.537;0
696.551;4.5;-278.568;0.047;0.031;0.529;40;40;40;43.518;0
695.306;4.5;-279.493;0.047;0.031;0.529;40;40;40;44.536;0
694.419;4.5;-282.187;0.047;0.031;0.529;40;40;40;47.258;0
693.532;4.5;-284.88;0.047;0.031;0.529;40;40;40;49.992;0
692.645;4.5;-287.574;0.047;0.031;0.529;40;40;40;52.737;0
691.759;4.5;-290.268;0.047;0.031;0.529;40;40;40;55.491;0
690.872;4.5;-292.962;0.047;0.031;0.529;40;40;40;58.251;0
689.985;4.5;-295.656;0.047;0.031;0.529;40;40;40;61.013;0
689.098;4.5;-298.349;0.047;0.031;0.529;40;40;40;63.776;0
688.211;4.5;-301.043;0.047;0.031;0.529;40;40;40;66.462;0
688.057;4.5;-300.894;0.047;0.031;0.529;40;40;40;66.313;0
690.246;4.5;-298.966;0.047;0.031;0.529;40;40;40;64.21;0
692.436;4.5;-297.038;0.047;0.031;0.529;40;40;40;62.02;0
694.625;4.5;-295.11;0.047;0.031;0.529;40;40;40;59.89;0
696.814;4.5;-293.182;0.047;0.031;0.529;40;40;40;57.828;0
699.004;4.5;-291.254;0.047;0.031;0.529;40;40;40;55.843;0
701.193;4.5;-289.326;0.047;0.031;0.529;40;40;40;53.943;0
703.382;4.5;-287.398;0.047;0.031;0.529;40;40;40;51.852;0
705.572;4.5;-285.47;0.047;0.031;0.529;40;40;40;49.778;0
707.761;4.5;-283.542;0.047;0.031;0.529;40;40;40;47.793;0
709.95;4.5;-281.614;0.047;0.031;0.529;40;40;40;45.907;0
712.14;4.5;-279.686;0.047;0.031;0.529;40;40;40;44.133;0
685.807;4.5;-302.271;0.549;0.055;0.627;1236;518;1236;67.681;0
683.147;4.5;-301.396;0.506;0.02;0.655;1085;504;1085;66.92;0
680.487;4.5;-300.521;0.51;0.024;0.651;1108;514;1108;66.254;0
677.827;4.5;-299.646;0.529;0.039;0.639;1183;549;1183;65.378;0
675.168;4.5;-298.772;0.58;0.086;0.608;1321;652;1321;64.476;0
673.957;4.5;-296.372;0.745;0.231;0.506;1676;811;1666;62.13;0
674.833;4.5;-293.712;0.757;0.239;0.498;1710;796;1679;59.492;0
675.708;4.5;-291.051;0.757;0.239;0.498;1708;777;1663;56.869;0
676.584;4.5;-288.39;0.769;0.251;0.49;1742;753;1680;54.265;0
677.46;4.5;-285.729;0.769;0.251;0.49;1741;730;1669;51.681;0
678.336;4.5;-283.068;0.733;0.22;0.51;1649;651;1570;49.121;0
679.211;4.5;-280.408;0.737;0.224;0.51;1655;638;1570;46.589;0
680.087;4.5;-277.747;0.729;0.216;0.514;1640;614;1554;43.914;0
680.963;4.5;-275.086;0.749;0.235;0.502;1690;614;1601;41.242;0
681.839;4.5;-272.425;0.769;0.251;0.49;1747;621;1656;38.589;0
682.714;4.5;-269.764;0.788;0.267;0.478;1827;621;1730;35.958;0
683.59;4.5;-267.103;0.796;0.275;0.475;1872;646;1796;33.354;0
684.466;4.5;-264.443;0.804;0.29;0.463;2063;711;1985;30.779;0
686.862;4.5;-262.859;0.878;0.424;0.369;2421;730;2307;29.222;0
689.767;4.5;-263.038;0.859;0.388;0.392;2343;686;2219;29.421;0
692.673;4.5;-263.218;0.859;0.384;0.396;2337;684;2212;29.39;0
695.578;4.5;-263.397;0.847;0.365;0.412;2291;668;2178;29.088;0
698.483;4.5;-263.576;0.847;0.361;0.412;2289;664;2175;28.95;0
701.388;4.5;-263.756;0.851;0.373;0.404;2312;665;2195;29.096;0
704.294;4.5;-263.935;0.855;0.376;0.4;2321;659;2200;29.219;0
707.199;4.5;-264.114;0.859;0.388;0.392;2347;657;2227;29.287;0
710.104;4.5;-264.294;0.867;0.4;0.384;2373;669;2251;29.452;0
713.009;4.5;-264.473;0.875;0.416;0.373;2400;684;2274;29.847;0
714.844;4.5;-266.496;0.788;0.267;0.478;1826;523;1744;31.981;0
714.67;4.5;-269.303;0.718;0.204;0.522;1607;476;1515;34.547;0
714.497;4.5;-272.11;0.667;0.161;0.553;1503;494;1423;37.149;0
714.324;4.5;-274.918;0.635;0.133;0.573;1435;553;1360;39.779;0
714.15;4.5;-277.725;0.624;0.122;0.58;1412;619;1342;42.433;0
712.801;4.5;-280.437;0.047;0.031;0.529;40;40;40;44.905;0
710.611;4.5;-282.365;0.047;0.031;0.529;40;40;40;46.649;0
708.422;4.5;-284.293;0.047;0.031;0.529;40;40;40;48.506;0
706.233;4.5;-286.221;0.047;0.031;0.529;40;40;40;50.464;0
704.043;4.5;-288.149;0.047;0.031;0.529;40;40;40;52.511;0
701.854;4.5;-290.077;0.047;0.031;0.529;40;40;40;54.636;0
699.665;4.5;-292.005;0.047;0.031;0.529;40;40;40;56.574;0
697.475;4.5;-293.933;0.047;0.031;0.529;40;40;40;58.535;0
695.286;4.5;-295.861;0.047;0.031;0.529;40;40;40;60.572;0
693.097;4.5;-297.789;0.047;0.031;0.529;40;40;40;62.679;0
690.907;4.5;-299.717;0.047;0.031;0.529;40;40;40;64.849;0
688.718;4.5;-301.645;0.047;0.031;0.529;40;40;40;67.055;0
809.403;4.5;-272.156;0.502;0.016;0.655;1049;365;1014;28.937;0
810.8;4.5;-274.691;0.467;0.012;0.651;813;301;810;30.98;0
812.196;4.5;-277.226;0.435;0.016;0.639;738;280;738;33.082;0
813.593;4.5;-279.761;0.404;0.016;0.631;679;264;679;35.295;0
814.99;4.5;-282.296;0.38;0.016;0.624;646;254;646;37.602;0
816.387;4.5;-284.832;0.361;0.02;0.62;615;245;615;39.985;0
817.784;4.5;-287.367;0.341;0.02;0.616;586;233;586;42.432;0
819.18;4.5;-289.902;0.322;0.02;0.608;559;226;559;44.932;0
820.577;4.5;-292.437;0.306;0.02;0.604;534;222;534;47.476;0
821.974;4.5;-294.972;0.286;0.02;0.6;508;219;508;49.836;0
823.371;4.5;-297.507;0.278;0.02;0.596;495;216;495;52.04;0
824.767;4.5;-300.042;0.278;0.02;0.596;495;220;495;54.287;0
826.164;4.5;-302.578;0.278;0.02;0.596;495;220;495;56.564;0
827.561;4.5;-305.113;0.286;0.02;0.6;508;228;508;58.894;0
828.958;4.5;-307.648;0.325;0.02;0.608;563;242;563;61.273;0
830.354;4.5;-310.183;0.498;0.012;0.659;982;425;982;63.694;0
831.751;4.5;-312.718;0.58;0.082;0.608;1314;619;1314;66.153;0
833.148;4.5;-315.253;0.612;0.114;0.588;1386;669;1386;68.535;0
834.545;4.5;-317.788;0.631;0.129;0.576;1430;690;1430;70.844;0
835.941;4.5;-320.324;0.651;0.149;0.561;1471;713;1471;73.195;0
837.338;4.5;-322.859;0.682;0.173;0.545;1529;741;1529;75.583;0
836.543;4.5;-325.52;0.49;0.012;0.655;892;425;892;78.272;0
833.948;4.5;-326.95;0.49;0.012;0.655;885;404;885;79.928;0
831.354;4.5;-328.379;0.486;0.012;0.655;880;392;880;81.657;0
828.76;4.5;-329.808;0.486;0.012;0.655;877;381;877;83.215;0
826.165;4.5;-331.237;0.486;0.012;0.655;869;373;869;84.812;0
823.571;4.5;-332.667;0.475;0.012;0.651;839;363;839;86.481;0
820.976;4.5;-334.096;0.467;0.012;0.651;815;350;815;88.218;0
818.382;4.5;-335.525;0.455;0.012;0.647;779;333;779;89.985;0
815.788;4.5;-336.955;0.482;0.012;0.655;857;395;857;91.504;0
813.193;4.5;-338.384;0.475;0.012;0.651;836;381;836;93.019;0
810.599;4.5;-339.813;0.482;0.012;0.655;862;396;862;94.602;0
807.574;4.5;-340.494;0.506;0.02;0.655;1071;381;1071;95.554;0
804.666;4.5;-340.305;0.494;0.012;0.659;915;355;915;95.722;0
801.759;4.5;-340.115;0.486;0.012;0.655;884;356;884;95.978;0
798.851;4.5;-339.926;0.486;0.012;0.655;873;364;873;96.322;0
795.943;4.5;-339.736;0.486;0.012;0.655;874;374;874;96.753;0
793.036;4.5;-339.546;0.486;0.012;0.655;876;387;876;97.269;0
790.128;4.5;-339.357;0.49;0.012;0.655;892;408;892;97.635;0
787.22;4.5;-339.167;0.49;0.012;0.655;899;422;899;97.407;0
784.313;4.5;-338.978;0.498;0.012;0.659;951;468;951;97.265;0
782.484;4.5;-336.863;0.49;0.012;0.659;904;502;903;95.239;0
782.668;4.5;-333.882;0.478;0.012;0.655;845;490;843;92.271;0
782.852;4.5;-330.901;0.467;0.012;0.651;810;489;808;89.304;0
783.036;4.5;-327.92;0.482;0.012;0.655;859;533;855;86.339;0
783.219;4.5;-324.939;0.49;0.012;0.659;902;565;897;83.375;0
783.403;4.5;-321.958;0.494;0.012;0.659;910;579;905;80.412;0
783.587;4.5;-318.977;0.494;0.012;0.659;935;599;930;77.452;0
783.771;4.5;-315.996;0.498;0.012;0.659;970;602;965;74.494;0
783.955;4.5;-313.015;0.498;0.012;0.659;979;600;974;71.538;0
784.138;4.5;-310.034;0.498;0.012;0.659;986;591;981;68.585;0
784.322;4.5;-307.053;0.498;0.012;0.659;999;573;992;65.635;0
784.506;4.5;-304.072;0.502;0.012;0.659;1028;565;1022;62.688;0
784.69;4.5;-301.091;0.506;0.016;0.655;1067;551;1051;59.745;0
784.874;4.5;-298.11;0.518;0.027;0.647;1131;546;1097;56.807;0
785.057;4.5;-295.129;0.525;0.039;0.639;1173;536;1127;53.874;0
785.241;4.5;-292.149;0.541;0.051;0.631;1221;519;1162;50.948;0
785.425;4.5;-289.168;0.569;0.075;0.616;1288;515;1212;48.029;0
785.609;4.5;-286.187;0.592;0.094;0.6;1340;510;1258;45.118;0
785.793;4.5;-283.206;0.612;0.11;0.588;1382;514;1297;42.218;0
785.976;4.5;-280.225;0.635;0.133;0.573;1435;501;1350;39.332;0
786.16;4.5;-277.244;0.678;0.169;0.549;1521;510;1428;36.461;0
786.344;4.5;-274.263;0.725;0.212;0.518;1624;540;1525;33.611;0
786.528;4.5;-271.282;0.773;0.255;0.486;1761;585;1664;30.786;0
788.471;4.5;-269.405;0.796;0.275;0.471;1888;604;1809;29.039;0
791.115;4.5;-269.568;0.788;0.271;0.478;1831;574;1760;29.414;0
793.758;4.5;-269.732;0.78;0.259;0.482;1787;556;1726;30.019;0
796.402;4.5;-269.895;0.765;0.247;0.494;1736;535;1680;30.84;0
799.045;4.5;-270.059;0.753;0.235;0.502;1694;512;1639;30.839;0
801.689;4.5;-270.222;0.733;0.22;0.514;1645;496;1591;29.984;0
804.332;4.5;-270.385;0.714;0.204;0.522;1605;473;1547;29.162;0
806.976;4.5;-270.549;0.706;0.192;0.529;1580;460;1532;28.238;0
850.504;4.5;-315.67;0.494;0.012;0.659;918;579;918;67.816;0
849.096;4.5;-313.117;0.114;0.027;0.549;248;125;248;65.432;0
847.689;4.5;-310.564;0.122;0.027;0.549;260;137;260;63.093;0
846.282;4.5;-308.01;0.129;0.027;0.553;273;146;273;60.803;0
844.875;4.5;-305.457;0.141;0.027;0.557;294;159;294;58.241;0
843.468;4.5;-302.903;0.161;0.027;0.561;326;176;326;55.694;0
842.061;4.5;-300.35;0.176;0.027;0.565;351;187;351;53.186;0
840.654;4.5;-297.797;0.192;0.024;0.573;374;190;374;50.721;0
839.247;4.5;-295.243;0.204;0.024;0.573;393;195;393;48.306;0
837.839;4.5;-292.69;0.224;0.024;0.58;422;203;422;45.949;0
836.432;4.5;-290.136;0.243;0.024;0.584;449;208;449;43.66;0
835.025;4.5;-287.583;0.267;0.024;0.592;479;216;479;41.433;0
833.618;4.5;-285.029;0.286;0.02;0.6;509;220;509;38.914;0
832.211;4.5;-282.476;0.314;0.02;0.608;546;227;546;36.454;0
830.804;4.5;-279.923;0.345;0.02;0.616;593;238;593;34.066;0
829.397;4.5;-277.369;0.384;0.016;0.627;648;252;648;31.766;0
827.99;4.5;-274.816;0.439;0.016;0.643;749;267;748;29.561;0
826.582;4.5;-272.262;0.494;0.012;0.659;933;299;932;27.39;0
825.175;4.5;-269.709;0.6;0.102;0.596;1360;477;1359;25.351;0
823.768;4.5;-267.156;0.6;0.102;0.596;1364;478;1363;23.402;0
822.361;4.5;-264.602;0.592;0.094;0.6;1341;468;1340;20.762;0
820.954;4.5;-262.049;0.596;0.098;0.596;1352;495;1352;18.161;0
822.199;4.5;-260.124;0.78;0.259;0.482;1784;524;1784;16.525;0
825.159;4.5;-260.31;0.714;0.2;0.525;1598;497;1598;17.228;0
828.119;4.5;-260.495;0.69;0.18;0.541;1546;492;1546;16.586;0
831.079;4.5;-260.68;0.675;0.169;0.549;1517;492;1517;16.285;0
834.039;4.5;-260.865;0.663;0.157;0.557;1493;493;1493;16.261;0
836.999;4.5;-261.05;0.655;0.149;0.561;1476;496;1476;16.769;0
839.959;4.5;-261.236;0.647;0.145;0.565;1462;498;1462;16.617;0
842.919;4.5;-261.421;0.643;0.141;0.569;1451;499;1451;16.556;0
845.879;4.5;-261.606;0.635;0.133;0.573;1439;501;1439;16.79;0
848.839;4.5;-261.791;0.631;0.129;0.576;1424;503;1424;17.109;0
851.799;4.5;-261.976;0.627;0.125;0.576;1420;506;1420;16.809;0
854.759;4.5;-262.162;0.627;0.125;0.58;1416;507;1416;16.915;0
857.719;4.5;-262.347;0.627;0.125;0.58;1417;507;1417;17.131;0
860.679;4.5;-262.532;0.631;0.129;0.576;1423;509;1422;16.377;0
863.639;4.5;-262.717;0.635;0.133;0.573;1432;509;1430;16.116;0
866.599;4.5;-262.902;0.639;0.137;0.573;1443;508;1441;16.291;0
869.559;4.5;-263.088;0.643;0.141;0.569;1451;508;1449;16.832;0
872.519;4.5;-263.273;0.651;0.145;0.565;1464;507;1462;17.367;0
875.479;4.5;-263.458;0.655;0.149;0.561;1476;505;1474;16.755;0
878.439;4.5;-263.643;0.663;0.157;0.557;1490;503;1488;16.477;0
881.399;4.5;-263.828;0.671;0.165;0.553;1507;503;1505;16.508;0
884.359;4.5;-264.014;0.686;0.176;0.541;1538;501;1536;17.062;0
887.318;4.5;-264.199;0.686;0.18;0.541;1544;499;1542;16.969;0
890.278;4.5;-264.384;0.694;0.184;0.537;1557;498;1555;17.273;0
893.238;4.5;-264.569;0.706;0.192;0.529;1579;495;1577;18.066;0
896.198;4.5;-264.754;0.71;0.2;0.525;1596;497;1594;18.208;0
899.158;4.5;-264.94;0.733;0.22;0.514;1646;502;1644;17.821;0
902.118;4.5;-265.125;0.761;0.243;0.494;1721;536;1719;17.901;0
903.367;4.5;-267.253;0.545;0.051;0.631;1223;484;1221;19.956;0
902.07;4.5;-269.885;0.522;0.031;0.643;1147;438;1143;22.286;0
900.774;4.5;-272.516;0.51;0.024;0.651;1103;399;1098;24.666;0
899.477;4.5;-275.147;0.502;0.016;0.659;1037;358;1032;27.155;0
898.18;4.5;-277.779;0.494;0.012;0.659;919;296;913;29.724;0
896.883;4.5;-280.41;0.455;0.012;0.647;780;269;780;32.356;0
895.587;4.5;-283.041;0.416;0.016;0.635;704;251;704;34.667;0
894.29;4.5;-285.673;0.373;0.016;0.624;631;238;631;36.929;0
892.993;4.5;-288.304;0.345;0.02;0.616;588;229;588;39.281;0
891.697;4.5;-290.935;0.314;0.02;0.608;547;222;547;41.706;0
890.4;4.5;-293.567;0.294;0.02;0.6;521;214;521;44.193;0
889.103;4.5;-296.198;0.271;0.024;0.592;487;210;487;46.731;0
887.806;4.5;-298.829;0.259;0.024;0.588;468;213;468;49.314;0
886.51;4.5;-301.461;0.251;0.024;0.588;458;217;458;51.934;0
885.213;4.5;-304.092;0.251;0.024;0.588;461;225;461;54.586;0
883.916;4.5;-306.723;0.247;0.024;0.588;454;240;454;57.265;0
882.619;4.5;-309.355;0.251;0.024;0.588;457;259;457;59.968;0
881.323;4.5;-311.986;0.263;0.024;0.592;477;296;477;62.692;0
880.026;4.5;-314.617;0.455;0.012;0.647;781;513;781;65.354;0
878.729;4.5;-317.249;0.498;0.012;0.659;983;691;983;67.979;0
876.157;4.5;-318.751;0.498;0.012;0.659;1016;682;1016;69.575;0
873.27;4.5;-318.569;0.498;0.012;0.659;960;657;960;69.63;0
870.382;4.5;-318.387;0.498;0.012;0.659;942;661;942;69.805;0
867.495;4.5;-318.206;0.498;0.012;0.659;945;672;945;69.852;0
864.607;4.5;-318.024;0.498;0.012;0.659;940;678;940;69.727;0
861.72;4.5;-317.842;0.494;0.012;0.659;920;660;920;69.721;0
858.832;4.5;-317.66;0.494;0.012;0.659;915;654;915;69.637;0
855.945;4.5;-317.478;0.494;0.012;0.659;919;650;919;69.393;0
853.057;4.5;-317.296;0.498;0.012;0.659;959;669;959;69.268;0
908.468;4.5;-156.009;0.259;0.024;0.592;471;197;471;83.37;0
911.348;4.5;-156.186;0.141;0.027;0.557;299;166;299;83.184;0
914.228;4.5;-156.364;0.114;0.027;0.549;246;158;246;83.099;0
917.109;4.5;-156.541;0.106;0.027;0.545;231;156;231;83.113;0
919.989;4.5;-156.718;0.102;0.027;0.545;222;153;222;83.227;0
922.869;4.5;-156.896;0.098;0.027;0.545;218;150;218;83.442;0
925.749;4.5;-157.073;0.098;0.027;0.545;215;147;215;83.755;0
928.63;4.5;-157.25;0.098;0.027;0.545;215;150;215;83.594;0
931.51;4.5;-157.428;0.11;0.027;0.549;238;176;238;83.159;0
933.329;4.5;-159.494;0.337;0.02;0.612;580;383;580;81;0
933.149;4.5;-162.389;0.341;0.02;0.616;587;404;587;78.145;0
932.97;4.5;-165.284;0.349;0.02;0.616;599;423;599;75.294;0
932.791;4.5;-168.179;0.357;0.02;0.62;606;437;606;72.446;0
932.611;4.5;-171.074;0.369;0.016;0.624;627;453;627;69.603;0
932.432;4.5;-173.969;0.384;0.016;0.627;647;468;647;66.764;0
932.253;4.5;-176.865;0.4;0.016;0.631;677;476;674;63.932;0
932.074;4.5;-179.76;0.427;0.016;0.639;727;481;718;61.105;0
931.894;4.5;-182.655;0.459;0.012;0.647;787;490;775;58.286;0
931.715;4.5;-185.55;0.478;0.012;0.651;840;501;827;55.476;0
931.536;4.5;-188.445;0.49;0.012;0.659;903;514;892;52.675;0
931.356;4.5;-191.34;0.498;0.012;0.659;937;496;922;49.886;0
931.177;4.5;-194.235;0.498;0.012;0.659;984;483;967;47.11;0
930.998;4.5;-197.13;0.498;0.012;0.659;987;469;971;44.35;0
930.818;4.5;-200.025;0.498;0.012;0.659;972;444;954;41.609;0
930.639;4.5;-202.92;0.498;0.012;0.659;1015;431;998;38.891;0
930.46;4.5;-205.816;0.506;0.02;0.655;1086;433;1067;36.202;0
930.28;4.5;-208.711;0.525;0.035;0.643;1166;448;1149;33.548;0
930.101;4.5;-211.606;0.62;0.118;0.584;1401;491;1386;30.938;0
928.042;4.5;-213.433;0.796;0.275;0.475;1880;502;1866;29.883;0
925.163;4.5;-213.255;0.788;0.271;0.478;1836;495;1829;31.075;0
922.284;4.5;-213.077;0.784;0.263;0.482;1807;493;1803;30.192;0
919.405;4.5;-212.9;0.776;0.259;0.486;1777;491;1774;29.315;0
916.526;4.5;-212.722;0.773;0.255;0.49;1756;487;1753;28.701;0
913.647;4.5;-212.544;0.765;0.247;0.494;1731;485;1728;28.37;0
910.769;4.5;-212.366;0.757;0.239;0.498;1707;481;1704;28.329;0
907.89;4.5;-212.189;0.749;0.235;0.502;1692;489;1689;28.581;0
905.011;4.5;-212.011;0.733;0.22;0.51;1650;498;1647;28.515;0
903.192;4.5;-209.945;0.506;0.02;0.655;1081;539;1081;30.274;0
903.371;4.5;-207.05;0.494;0.012;0.659;908;487;908;33.052;0
903.55;4.5;-204.155;0.467;0.012;0.651;806;458;806;35.849;0
903.728;4.5;-201.26;0.439;0.016;0.643;745;444;745;38.662;0
903.907;4.5;-198.365;0.42;0.016;0.635;710;440;710;41.487;0
904.086;4.5;-195.47;0.404;0.016;0.631;679;438;679;44.321;0
904.264;4.5;-192.575;0.388;0.016;0.627;654;430;654;47.164;0
904.443;4.5;-189.68;0.384;0.016;0.627;651;432;651;50.013;0
904.622;4.5;-186.785;0.412;0.016;0.635;696;468;696;52.868;0
904.8;4.5;-183.89;0.431;0.016;0.639;730;470;730;55.727;0
904.979;4.5;-180.995;0.467;0.012;0.651;814;480;814;58.591;0
905.158;4.5;-178.101;0.494;0.012;0.659;935;504;935;61.458;0
905.336;4.5;-175.206;0.498;0.012;0.659;950;504;950;64.328;0
905.515;4.5;-172.311;0.498;0.012;0.659;981;500;981;67.201;0
